"Fact","Fact Note","Nebraska","Value Note for Nebraska","South Dakota","Value Note for South Dakota","Idaho","Value Note for Idaho","Arkansas","Value Note for Arkansas","Oregon","Value Note for Oregon","New Mexico","Value Note for New Mexico"
"Minority-owned firms, 2012","","14,571","","4,101","","10,592","","35,982","","41,456","","60,622",""
"Nonminority-owned firms, 2012","","144,122","","74,228","","130,973","","189,029","","285,028","","83,857",""
"Veteran-owned firms, 2012","","16,693","","8,604","","12,804","","25,915","","30,918","","14,096",""
"Nonveteran-owned firms, 2012","","137,254","","66,219","","124,314","","192,988","","288,790","","128,693",""
"Population per square mile, 2010","","23.8","","10.7","","19.0","","56.0","","39.9","","17.0",""
"Land area in square miles, 2010","","76,824.17","","75,811.00","","82,643.12","","52,035.48","","95,988.01","","121,298.15",""
"FIPS Code","","""31""","","""46""","","""16""","","""05""","","""41""","","""35""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
