"Fact","Fact Note","Kansas","Value Note for Kansas","Minnesota","Value Note for Minnesota","Delaware","Value Note for Delaware","Oklahoma","Value Note for Oklahoma","District of Columbia","Value Note for District of Columbia","Kentucky","Value Note for Kentucky"
"With a disability, under age 65 years, percent, 2014-2018","","9.0%","","7.3%","","8.5%","","11.5%","","8.6%","","13.1%",""
"Persons  without health insurance, under age 65 years, percent","","10.3%","","5.1%","","6.8%","","16.7%","","3.5%","","6.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","65.7%","","69.7%","","62.3%","","60.7%","","69.5%","","58.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","61.2%","","66.0%","","58.8%","","55.6%","","67.9%","","54.7%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","4,873,411","","11,722,627","","2,148,437","","7,121,153","","5,101,602","","7,500,115",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","18,248,370","","40,403,572","","7,003,251","","22,795,438","","8,963,981","","26,264,745",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","86,076,260","","123,076,309","","22,597,384","","74,295,394","","309,832","","129,284,438",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","60,226,324","","104,485,117","","5,628,914","","71,892,946","","2,591,868","","71,745,899",""
"Total retail sales, 2012 ($1,000)","(c)","38,276,461","","78,898,182","","14,456,001","","50,256,231","","4,439,933","","54,869,978",""
"Total retail sales per capita, 2012","(c)","$13,263","","$14,667","","$15,763","","$13,174","","$7,022","","$12,526",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","19.3","","23.5","","25.8","","21.7","","30.3","","23.3",""
"Median household income (in 2018 dollars), 2014-2018","","$57,422","","$68,411","","$65,627","","$51,424","","$82,604","","$48,392",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$30,757","","$36,245","","$33,989","","$27,432","","$53,321","","$26,948",""
"Persons in poverty, percent","","12.0%","","9.6%","","12.5%","","15.6%","","16.2%","","16.9%",""
"Total employer establishments, 2017","","74,947","1","151,816","1","25,452","1","93,674","1","23,585","","91,241","1"
"Total employment, 2017","","1,199,162","1","2,685,047","1","400,714","1","1,360,720","1","527,004","","1,625,006","1"
"Total annual payroll, 2017 ($1,000)","","52,754,605","1","142,129,457","1","21,975,836","1","59,669,532","1","40,999,824","","67,733,358","1"
"Total employment, percent change, 2016-2017","","1.2%","1","0.9%","1","0.2%","1","Z","1","Z","","1.4%","1"
"Total nonemployer establishments, 2017","","201,268","","409,860","","65,634","","287,984","","61,347","","291,230",""
"All firms, 2012","","239,118","","489,494","","73,418","","327,229","","63,408","","331,546",""
"Men-owned firms, 2012","","125,169","","268,710","","38,328","","174,395","","30,237","","184,154",""
"Women-owned firms, 2012","","77,194","","157,821","","23,964","","105,168","","27,064","","106,011",""
"Minority-owned firms, 2012","","26,127","","47,302","","14,440","","64,875","","29,983","","27,258",""
"Nonminority-owned firms, 2012","","204,562","","428,716","","54,782","","249,027","","29,521","","296,155",""
"Veteran-owned firms, 2012","","21,610","","45,582","","7,206","","36,273","","5,070","","33,208",""
"Nonveteran-owned firms, 2012","","203,401","","419,628","","60,318","","273,491","","54,217","","282,704",""
"Population per square mile, 2010","","34.9","","66.6","","460.8","","54.7","","9,856.5","","109.9",""
"Land area in square miles, 2010","","81,758.72","","79,626.74","","1,948.54","","68,594.92","","61.05","","39,486.34",""
"FIPS Code","","""20""","","""27""","","""10""","","""40""","","""11""","","""21""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
