"Fact","Fact Note","Georgia","Value Note for Georgia","Texas","Value Note for Texas","Connecticut","Value Note for Connecticut","Louisiana","Value Note for Louisiana","Florida","Value Note for Florida","Illinois","Value Note for Illinois"
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.1%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","2.2%","","2.0%","","2.4%","","1.7%","","2.2%","","2.0%",""
"Hispanic or Latino, percent","(b)","9.8%","","39.6%","","16.5%","","5.2%","","26.1%","","17.4%",""
"White alone, not Hispanic or Latino, percent","","52.4%","","41.5%","","66.5%","","58.6%","","53.5%","","61.0%",""
"Veterans, 2014-2018","","636,725","","1,474,232","","173,998","","250,497","","1,452,967","","595,185",""
"Foreign born persons, percent, 2014-2018","","10.1%","","17.0%","","14.3%","","4.1%","","20.5%","","14.0%",""
"Housing units,  July 1, 2018,  (V2018)","","4,326,105","","11,100,779","","1,521,117","","2,076,028","","9,547,305","","5,376,064",""
"Owner-occupied housing unit rate, 2014-2018","","63.1%","","61.9%","","66.3%","","65.3%","","65.0%","","66.0%",""
"Median value of owner-occupied housing units, 2014-2018","","$166,800","","$161,700","","$272,700","","$157,800","","$196,800","","$187,200",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,383","","$1,549","","$2,096","","$1,267","","$1,466","","$1,668",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$418","","$500","","$877","","$338","","$492","","$626",""
"Median gross rent, 2014-2018","","$968","","$998","","$1,156","","$850","","$1,128","","$984",""
"Building permits, 2018","","59,315","","192,878","","4,815","","15,835","","144,427","","21,510",""
"Households, 2014-2018","","3,709,488","","9,553,046","","1,367,374","","1,736,021","","7,621,760","","4,830,038",""
"Persons per household, 2014-2018","","2.71","","2.86","","2.54","","2.61","","2.65","","2.59",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","84.6%","","84.1%","","87.9%","","87.0%","","84.3%","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","13.9%","","35.5%","","22.2%","","8.1%","","29.1%","","23.0%",""
"Households with a computer, percent, 2014-2018","","88.6%","","89.2%","","89.6%","","83.5%","","89.8%","","88.3%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","79.0%","","79.3%","","83.8%","","72.8%","","80.8%","","80.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","86.7%","","83.2%","","90.5%","","84.8%","","88.0%","","88.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","30.7%","","29.3%","","38.9%","","23.7%","","29.2%","","34.1%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.7%","","7.9%","","7.3%","","11.0%","","8.6%","","7.1%",""
"Persons  without health insurance, under age 65 years, percent","","15.7%","","20.0%","","6.2%","","9.3%","","16.0%","","8.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","62.4%","","64.2%","","66.2%","","59.3%","","58.3%","","65.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","58.2%","","57.7%","","62.2%","","55.5%","","54.1%","","60.3%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","18,976,611","","54,480,811","","9,542,068","","11,697,949","","49,817,925","","27,937,381",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","51,800,643","","145,035,130","","29,573,119","","27,951,792","","124,061,425","","83,431,778",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","155,836,792","","702,603,073","","55,160,095","","271,191,050","","96,924,106","","281,037,755",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","143,645,290","","691,242,607","","161,962,244","","68,012,838","","252,626,608","","295,456,992",""
"Total retail sales, 2012 ($1,000)","(c)","119,801,495","","356,116,376","","51,632,467","","61,396,364","","273,867,145","","166,634,514",""
"Total retail sales per capita, 2012","(c)","$12,077","","$13,666","","$14,381","","$13,342","","$14,177","","$12,942",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.4","","26.4","","26.3","","25.5","","27.4","","29.0",""
"Median household income (in 2018 dollars), 2014-2018","","$55,679","","$59,570","","$76,106","","$47,942","","$53,267","","$63,575",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$29,523","","$30,143","","$43,056","","$27,027","","$30,197","","$34,463",""
"Persons in poverty, percent","","14.3%","","14.9%","","10.4%","","18.6%","","13.6%","","12.1%",""
"Total employer establishments, 2017","","233,500","1","592,677","1","89,574","1","106,599","1","557,308","1","321,135","1"
"Total employment, 2017","","3,888,928","1","10,580,160","1","1,536,858","1","1,688,674","1","8,385,577","1","5,497,629","1"
"Total annual payroll, 2017 ($1,000)","","191,941,305","1","544,772,560","1","95,781,512","1","75,415,899","1","378,219,262","1","301,443,641","1"
"Total employment, percent change, 2016-2017","","2.2%","1","1.4%","1","0.2%","1","-1.2%","1","2.6%","1","-0.3%","1"
"Total nonemployer establishments, 2017","","915,043","","2,399,267","","281,453","","378,493","","2,245,127","","985,260",""
"All firms, 2012","","929,864","","2,356,748","","326,693","","414,291","","2,100,187","","1,135,017",""
"Men-owned firms, 2012","","480,578","","1,251,696","","187,845","","215,111","","1,084,885","","609,648",""
"Women-owned firms, 2012","","376,506","","866,678","","106,678","","151,114","","807,817","","417,500",""
"Minority-owned firms, 2012","","371,588","","1,070,392","","56,113","","126,100","","926,112","","311,684",""
"Nonminority-owned firms, 2012","","538,893","","1,224,845","","259,614","","277,676","","1,121,749","","795,129",""
"Veteran-owned firms, 2012","","96,787","","213,590","","31,056","","42,211","","185,756","","89,110",""
"Nonveteran-owned firms, 2012","","800,585","","2,057,218","","281,182","","354,460","","1,846,686","","1,006,885",""
"Population per square mile, 2010","","168.4","","96.3","","738.1","","104.9","","350.6","","231.1",""
"Land area in square miles, 2010","","57,513.49","","261,231.71","","4,842.36","","43,203.90","","53,624.76","","55,518.93",""
"FIPS Code","","""13""","","""48""","","""09""","","""22""","","""12""","","""17""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
