"Fact","Fact Note","Alaska","Value Note for Alaska","Wyoming","Value Note for Wyoming","Montana","Value Note for Montana"
"Median gross rent, 2014-2018","","$1,231","","$843","","$783",""
"Building permits, 2018","","1,677","","1,812","","5,099",""
"Households, 2014-2018","","253,462","","230,630","","423,240",""
"Persons per household, 2014-2018","","2.81","","2.46","","2.39",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","81.7%","","83.1%","","84.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","16.2%","","7.3%","","4.1%",""
"Households with a computer, percent, 2014-2018","","93.3%","","90.8%","","87.3%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","84.3%","","81.1%","","78.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","92.7%","","92.9%","","93.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","29.2%","","26.9%","","31.2%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.8%","","8.9%","","9.2%",""
"Persons  without health insurance, under age 65 years, percent","","14.3%","","12.5%","","10.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","66.4%","","66.4%","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","63.9%","","61.2%","","59.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","2,221,335","","1,644,844","","2,420,455",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","6,375,483","","3,291,478","","6,469,475",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D","","10,783,794","","11,535,236",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","5,216,303","","5,597,891","","12,645,824",""
"Total retail sales, 2012 ($1,000)","(c)","10,474,275","","9,446,043","","15,623,573",""
"Total retail sales per capita, 2012","(c)","$14,320","","$16,388","","$15,544",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","18.8","","17.8","","18.0",""
"Median household income (in 2018 dollars), 2014-2018","","$76,715","","$62,268","","$52,559",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$35,874","","$32,295","","$29,765",""
"Persons in poverty, percent","","10.9%","","11.1%","","13.0%",""
"Total employer establishments, 2017","","21,279","1","21,148","1","38,192","1"
"Total employment, 2017","","262,075","1","201,864","1","376,565","1"
"Total annual payroll, 2017 ($1,000)","","15,007,844","1","9,436,110","1","14,773,193","1"
"Total employment, percent change, 2016-2017","","-1.5%","1","-3.2%","1","-0.5%","1"
"Total nonemployer establishments, 2017","","56,796","","51,309","","91,520",""
"All firms, 2012","","68,032","","62,427","","112,419",""
"Men-owned firms, 2012","","35,402","","30,039","","55,913",""
"Women-owned firms, 2012","","22,141","","19,344","","35,449",""
"Minority-owned firms, 2012","","13,688","","4,077","","5,578",""
"Nonminority-owned firms, 2012","","51,147","","55,397","","102,746",""
"Veteran-owned firms, 2012","","7,953","","6,470","","11,486",""
"Nonveteran-owned firms, 2012","","56,091","","51,353","","93,393",""
"Population per square mile, 2010","","1.2","","5.8","","6.8",""
"Land area in square miles, 2010","","570,640.95","","97,093.14","","145,545.80",""
"FIPS Code","","""02""","","""56""","","""30""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"1","Includes data not distributed by county.","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","",""
"NA","Not available","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"X","Not applicable","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
