"Fact","Fact Note","Iowa","Value Note for Iowa","Utah","Value Note for Utah","Nevada","Value Note for Nevada","South Carolina","Value Note for South Carolina","Wisconsin","Value Note for Wisconsin","Mississippi","Value Note for Mississippi"
"Total nonemployer establishments, 2017","","211,320","","236,794","","233,007","","351,453","","350,624","","219,596",""
"All firms, 2012","","259,121","","251,419","","227,156","","367,726","","432,980","","235,454",""
"Men-owned firms, 2012","","135,382","","132,163","","114,057","","202,446","","236,252","","125,079",""
"Women-owned firms, 2012","","82,345","","76,269","","82,508","","131,856","","133,859","","89,159",""
"Minority-owned firms, 2012","","14,707","","24,423","","71,864","","83,233","","40,507","","74,824",""
"Nonminority-owned firms, 2012","","236,561","","218,826","","144,944","","276,269","","379,934","","155,094",""
"Veteran-owned firms, 2012","","25,889","","18,754","","23,049","","47,987","","39,830","","26,789",""
"Nonveteran-owned firms, 2012","","217,779","","219,807","","191,293","","303,137","","370,755","","198,566",""
"Population per square mile, 2010","","54.5","","33.6","","24.6","","153.9","","105.0","","63.2",""
"Land area in square miles, 2010","","55,857.13","","82,169.62","","109,781.18","","30,060.70","","54,157.80","","46,923.27",""
"FIPS Code","","""19""","","""49""","","""32""","","""45""","","""55""","","""28""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
