"Fact","Fact Note","Virginia","Value Note for Virginia","Colorado","Value Note for Colorado","Indiana","Value Note for Indiana","Washington","Value Note for Washington","Ohio","Value Note for Ohio","Maryland","Value Note for Maryland"
"Two or More Races, percent","","3.1%","","3.1%","","2.1%","","4.8%","","2.3%","","2.9%",""
"Hispanic or Latino, percent","(b)","9.6%","","21.7%","","7.1%","","12.9%","","3.9%","","10.4%",""
"White alone, not Hispanic or Latino, percent","","61.5%","","67.9%","","78.9%","","68.0%","","78.7%","","50.5%",""
"Veterans, 2014-2018","","684,480","","375,746","","390,220","","537,713","","729,649","","372,462",""
"Foreign born persons, percent, 2014-2018","","12.3%","","9.8%","","5.2%","","14.0%","","4.5%","","15.1%",""
"Housing units,  July 1, 2018,  (V2018)","","3,538,847","","2,424,051","","2,903,554","","3,148,129","","5,217,423","","2,458,801",""
"Owner-occupied housing unit rate, 2014-2018","","66.2%","","64.9%","","68.9%","","62.7%","","66.0%","","66.8%",""
"Median value of owner-occupied housing units, 2014-2018","","$264,900","","$313,600","","$135,400","","$311,700","","$140,000","","$305,500",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$1,767","","$1,681","","$1,130","","$1,826","","$1,269","","$1,987",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$470","","$458","","$401","","$564","","$471","","$617",""
"Median gross rent, 2014-2018","","$1,202","","$1,196","","$807","","$1,194","","$788","","$1,357",""
"Building permits, 2018","","31,977","","42,627","","21,480","","47,746","","24,221","","18,647",""
"Households, 2014-2018","","3,128,415","","2,113,387","","2,553,818","","2,800,423","","4,654,075","","2,192,518",""
"Persons per household, 2014-2018","","2.61","","2.56","","2.53","","2.55","","2.43","","2.67",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","84.5%","","81.7%","","85.1%","","82.2%","","85.2%","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","16.1%","","17.0%","","8.6%","","19.4%","","7.0%","","18.4%",""
"Households with a computer, percent, 2014-2018","","89.9%","","92.8%","","87.2%","","92.7%","","87.4%","","91.3%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","82.0%","","85.7%","","77.6%","","86.5%","","79.7%","","84.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","89.3%","","91.4%","","88.6%","","91.1%","","90.1%","","90.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","38.2%","","40.1%","","25.9%","","35.3%","","27.8%","","39.6%",""
"With a disability, under age 65 years, percent, 2014-2018","","8.0%","","7.3%","","9.8%","","8.8%","","10.1%","","7.5%",""
"Persons  without health insurance, under age 65 years, percent","","10.2%","","8.6%","","9.7%","","7.5%","","7.7%","","6.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","64.2%","","67.6%","","63.8%","","63.5%","","63.1%","","67.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","60.4%","","62.6%","","59.1%","","58.4%","","58.8%","","63.4%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","17,795,901","","13,617,654","","13,076,602","","14,297,278","","20,652,777","","12,516,782",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","47,705,003","","29,488,161","","42,493,117","","43,966,889","","80,915,693","","40,821,901",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","96,389,872","","50,447,098","","242,763,842","","131,530,601","","313,629,976","","39,532,989",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","86,613,641","","77,034,971","","81,173,422","","83,313,366","","155,426,023","","60,734,191",""
"Total retail sales, 2012 ($1,000)","(c)","110,002,385","","67,815,200","","85,857,962","","118,924,049","","153,553,997","","76,379,707",""
"Total retail sales per capita, 2012","(c)","$13,438","","$13,073","","$13,133","","$17,243","","$13,301","","$12,980",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","28.4","","25.5","","23.6","","27.6","","23.5","","32.9",""
"Median household income (in 2018 dollars), 2014-2018","","$71,564","","$68,811","","$54,325","","$70,116","","$54,533","","$81,868",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$37,763","","$36,415","","$28,461","","$36,888","","$30,304","","$40,517",""
"Persons in poverty, percent","","10.7%","","9.6%","","13.1%","","10.3%","","13.9%","","9.0%",""
"Total employer establishments, 2017","","201,893","1","169,842","1","148,377","1","191,045","1","253,001","1","139,446","1"
"Total employment, 2017","","3,310,542","1","2,371,694","1","2,779,124","1","2,768,660","1","4,815,946","1","2,335,479","1"
"Total annual payroll, 2017 ($1,000)","","177,105,769","1","126,786,000","1","122,892,875","1","169,766,372","1","224,627,609","1","126,632,897","1"
"Total employment, percent change, 2016-2017","","1.7%","1","2.3%","1","2.2%","1","3.1%","1","0.5%","1","2.3%","1"
"Total nonemployer establishments, 2017","","617,046","","517,350","","415,261","","478,331","","785,833","","497,161",""
"All firms, 2012","","653,193","","547,352","","479,059","","541,522","","904,814","","531,953",""
"Men-owned firms, 2012","","353,012","","284,554","","253,533","","262,650","","510,078","","276,630",""
"Women-owned firms, 2012","","236,290","","194,508","","162,798","","187,677","","306,824","","209,119",""
"Minority-owned firms, 2012","","185,043","","85,849","","61,252","","92,807","","122,653","","203,394",""
"Nonminority-owned firms, 2012","","450,109","","442,365","","405,090","","426,697","","759,569","","314,902",""
"Veteran-owned firms, 2012","","76,434","","51,722","","45,174","","49,331","","91,316","","50,976",""
"Nonveteran-owned firms, 2012","","548,439","","469,524","","412,543","","461,401","","776,193","","462,232",""
"Population per square mile, 2010","","202.6","","48.5","","181.0","","101.2","","282.3","","594.8",""
"Land area in square miles, 2010","","39,490.09","","103,641.89","","35,826.11","","66,455.52","","40,860.69","","9,707.24",""
"FIPS Code","","""51""","","""08""","","""18""","","""53""","","""39""","","""24""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
